11.1344 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
11.7925 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11479a090>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
11.7926 	EXP 	window1: recordFrameIntervals = False
11.9580 	EXP 	window1: recordFrameIntervals = True
12.1413 	EXP 	window1: recordFrameIntervals = False
12.2522 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
12.2612 	EXP 	Imported ../../../../Users/rohansopp/Documents/Psychopy practice/FixationTest.xlsx as conditions, 9 conditions, 2 params
12.2616 	EXP 	Created sequence: fullRandom, trialTypes=9, nReps=1, seed=None
12.2620 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'Colour', u'Blue'), (u'Time', 4)])
12.2745 	EXP 	text: color = u'Blue (named)'
12.2745 	EXP 	text: autoDraw = True
13.8363 	DATA 	Keypress: space
16.2595 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'Colour', u'Green'), (u'Time', 2)])
16.2748 	EXP 	text: autoDraw = False
16.2748 	EXP 	text: autoDraw = False
16.2748 	EXP 	text: color = u'Green (named)'
16.2748 	EXP 	text: autoDraw = True
18.2597 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'Colour', u'Green'), (u'Time', 4)])
18.2749 	EXP 	text: autoDraw = False
18.2749 	EXP 	text: autoDraw = False
18.2749 	EXP 	text: color = u'Green (named)'
18.2749 	EXP 	text: autoDraw = True
18.3950 	DATA 	Keypress: space
22.2599 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'Colour', u'Green'), (u'Time', 6)])
22.2752 	EXP 	text: autoDraw = False
22.2752 	EXP 	text: autoDraw = False
22.2752 	EXP 	text: color = u'Green (named)'
22.2752 	EXP 	text: autoDraw = True
28.2602 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'Colour', u'Red'), (u'Time', 4)])
28.2755 	EXP 	text: autoDraw = False
28.2755 	EXP 	text: autoDraw = False
28.2755 	EXP 	text: color = u'Red (named)'
28.2755 	EXP 	text: autoDraw = True
28.7975 	DATA 	Keypress: space
32.2606 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'Colour', u'Blue'), (u'Time', 6)])
32.2761 	EXP 	text: autoDraw = False
32.2761 	EXP 	text: autoDraw = False
32.2761 	EXP 	text: color = u'Blue (named)'
32.2761 	EXP 	text: autoDraw = True
32.7291 	DATA 	Keypress: space
38.2613 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'Colour', u'Red'), (u'Time', 2)])
38.2766 	EXP 	text: autoDraw = False
38.2766 	EXP 	text: autoDraw = False
38.2766 	EXP 	text: color = u'Red (named)'
38.2766 	EXP 	text: autoDraw = True
38.5964 	DATA 	Keypress: space
40.2614 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'Colour', u'Red'), (u'Time', 6)])
40.2767 	EXP 	text: autoDraw = False
40.2767 	EXP 	text: autoDraw = False
40.2767 	EXP 	text: color = u'Red (named)'
40.2767 	EXP 	text: autoDraw = True
46.2616 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'Colour', u'Blue'), (u'Time', 2)])
46.2769 	EXP 	text: autoDraw = False
46.2769 	EXP 	text: autoDraw = False
46.2769 	EXP 	text: color = u'Blue (named)'
46.2769 	EXP 	text: autoDraw = True
46.5972 	DATA 	Keypress: space
48.5452 	EXP 	window1: mouseVisible = True
